"x"	"y"	"pointID"	"ancID"	"anc.x"	"anc.y"	"lake"
-849364.234090498	2086631.08951351	1	1	-849411.713628103	2086544.30007001	"BRK"
-849394.868075294	2086702.76258466	2	1	-849411.713628103	2086544.30007001	"BRK"
-849444.999228901	2086515.45478809	3	1	-849411.713628103	2086544.30007001	"BRK"
-849483.166459123	2086549.95302186	4	1	-849411.713628103	2086544.30007001	"BRK"
-849428.632248335	2086542.22728454	5	1	-849411.713628103	2086544.30007001	"BRK"
-849408.05962736	2086583.4942924	6	1	-849411.713628103	2086544.30007001	"BRK"
-849423.155030451	2086545.31799541	7	1	-849411.713628103	2086544.30007001	"BRK"
-849431.427602914	2086640.04186274	8	1	-849411.713628103	2086544.30007001	"BRK"
-849536.380300216	2086527.99821361	9	1	-849411.713628103	2086544.30007001	"BRK"
-849488.801114224	2086518.92142107	10	1	-849411.713628103	2086544.30007001	"BRK"
-849423.454710223	2086529.10245898	11	1	-849411.713628103	2086544.30007001	"BRK"
-849426.779876167	2086680.71790584	12	1	-849411.713628103	2086544.30007001	"BRK"
-849427.9040452	2086553.28279048	13	1	-849411.713628103	2086544.30007001	"BRK"
-849414.600422506	2086572.09512018	14	1	-849411.713628103	2086544.30007001	"BRK"
-849425.19775704	2086549.52440072	15	1	-849411.713628103	2086544.30007001	"BRK"
-849439.760360277	2086511.2932766	16	1	-849411.713628103	2086544.30007001	"BRK"
-849407.813307395	2086679.32480163	17	1	-849411.713628103	2086544.30007001	"BRK"
-849503.869082909	2086513.52121622	18	1	-849411.713628103	2086544.30007001	"BRK"
-849353.772275195	2086682.06733773	19	1	-849411.713628103	2086544.30007001	"BRK"
-849450.295332513	2086583.3514447	20	1	-849411.713628103	2086544.30007001	"BRK"
-849550.304225893	2086650.88638587	21	1	-849411.713628103	2086544.30007001	"BRK"
-849429.914486755	2086564.16753282	22	1	-849411.713628103	2086544.30007001	"BRK"
-849444.12544744	2086518.36330805	23	1	-849411.713628103	2086544.30007001	"BRK"
-849437.130135535	2086509.75238325	24	1	-849411.713628103	2086544.30007001	"BRK"
-849459.934965441	2086574.80823915	25	1	-849411.713628103	2086544.30007001	"BRK"
-849469.326173054	2086515.38464957	26	1	-849411.713628103	2086544.30007001	"BRK"
-848984.743888413	2086478.87364335	1	2	-848961.871119622	2086450.25385877	"BRK"
-848900.788807451	2086539.54306306	2	2	-848961.871119622	2086450.25385877	"BRK"
-848858.489337616	2086418.96350079	3	2	-848961.871119622	2086450.25385877	"BRK"
-848970.296164923	2086448.92108135	4	2	-848961.871119622	2086450.25385877	"BRK"
-848919.827945714	2086594.37832727	5	2	-848961.871119622	2086450.25385877	"BRK"
-848984.297692491	2086602.01835751	6	2	-848961.871119622	2086450.25385877	"BRK"
-848982.038020834	2086492.72134055	7	2	-848961.871119622	2086450.25385877	"BRK"
-848975.645558347	2086451.05997773	8	2	-848961.871119622	2086450.25385877	"BRK"
-848738.840965073	2086376.30181198	9	2	-848961.871119622	2086450.25385877	"BRK"
-848972.303187904	2086473.30633406	10	2	-848961.871119622	2086450.25385877	"BRK"
-848829.762562629	2086442.49094594	11	2	-848961.871119622	2086450.25385877	"BRK"
-848904.705393907	2086474.44838647	12	2	-848961.871119622	2086450.25385877	"BRK"
-848951.819525277	2086458.21507324	13	2	-848961.871119622	2086450.25385877	"BRK"
-848980.955871914	2086473.89145807	14	2	-848961.871119622	2086450.25385877	"BRK"
-849151.294616498	2086644.900357	15	2	-848961.871119622	2086450.25385877	"BRK"
-848956.322587656	2086587.29000492	16	2	-848961.871119622	2086450.25385877	"BRK"
-848811.538629097	2086454.62653516	17	2	-848961.871119622	2086450.25385877	"BRK"
-849024.272581725	2086464.42672356	18	2	-848961.871119622	2086450.25385877	"BRK"
-848943.536839333	2086488.70120054	19	2	-848961.871119622	2086450.25385877	"BRK"
-848971.746287112	2086481.20238013	20	2	-848961.871119622	2086450.25385877	"BRK"
-848878.882142331	2086415.88108841	21	2	-848961.871119622	2086450.25385877	"BRK"
-848985.282582389	2086468.61903859	22	2	-848961.871119622	2086450.25385877	"BRK"
-848972.693906259	2086484.52222376	23	2	-848961.871119622	2086450.25385877	"BRK"
-849002.353005964	2086263.29064331	24	2	-848961.871119622	2086450.25385877	"BRK"
-848969.967799812	2086471.38187967	25	2	-848961.871119622	2086450.25385877	"BRK"
-848822.068084061	2086440.3996475	26	2	-848961.871119622	2086450.25385877	"BRK"
-848928.786770146	2086485.96326677	27	2	-848961.871119622	2086450.25385877	"BRK"
-848981.571020817	2086446.80396851	28	2	-848961.871119622	2086450.25385877	"BRK"
-848937.408050058	2086461.91379524	29	2	-848961.871119622	2086450.25385877	"BRK"
-848920.926722049	2086279.47935356	30	2	-848961.871119622	2086450.25385877	"BRK"
-848976.384043674	2086491.45379063	31	2	-848961.871119622	2086450.25385877	"BRK"
-848844.924119842	2086458.5690931	32	2	-848961.871119622	2086450.25385877	"BRK"
-848963.002138087	2086487.3488863	33	2	-848961.871119622	2086450.25385877	"BRK"
-848860.781426494	2086323.65828442	34	2	-848961.871119622	2086450.25385877	"BRK"
-848723.870945519	2086419.28457349	35	2	-848961.871119622	2086450.25385877	"BRK"
-848878.77176523	2086421.9794866	36	2	-848961.871119622	2086450.25385877	"BRK"
-848934.369310018	2086457.32008424	37	2	-848961.871119622	2086450.25385877	"BRK"
-848856.467547858	2086254.47105277	38	2	-848961.871119622	2086450.25385877	"BRK"
-849024.361705483	2086632.18026575	39	2	-848961.871119622	2086450.25385877	"BRK"
-848955.948365829	2086569.48102551	40	2	-848961.871119622	2086450.25385877	"BRK"
-848949.669525452	2086477.78596403	41	2	-848961.871119622	2086450.25385877	"BRK"
-849681.820675252	2086351.00855404	1	3	-849490.757858685	2086376.44111618	"BRK"
-849500.35468085	2086559.42811482	2	3	-849490.757858685	2086376.44111618	"BRK"
-849721.106298963	2086345.89072378	3	3	-849490.757858685	2086376.44111618	"BRK"
-849579.29768826	2086383.85162031	4	3	-849490.757858685	2086376.44111618	"BRK"
-849528.205552113	2086188.42475861	5	3	-849490.757858685	2086376.44111618	"BRK"
-849480.651919276	2086570.07097003	6	3	-849490.757858685	2086376.44111618	"BRK"
-849485.406014906	2086343.60648293	7	3	-849490.757858685	2086376.44111618	"BRK"
-849517.005716391	2086400.53148167	8	3	-849490.757858685	2086376.44111618	"BRK"
-849563.318139111	2086370.90097402	9	3	-849490.757858685	2086376.44111618	"BRK"
-849567.579347998	2086410.61476038	10	3	-849490.757858685	2086376.44111618	"BRK"
-849501.593435383	2086390.04223249	11	3	-849490.757858685	2086376.44111618	"BRK"
-849480.007887652	2086492.73656248	12	3	-849490.757858685	2086376.44111618	"BRK"
-849631.138127167	2086358.16995618	13	3	-849490.757858685	2086376.44111618	"BRK"
-849519.282012061	2086351.53070801	14	3	-849490.757858685	2086376.44111618	"BRK"
-849476.334860073	2086353.24319606	15	3	-849490.757858685	2086376.44111618	"BRK"
-849649.397312808	2086183.49502568	16	3	-849490.757858685	2086376.44111618	"BRK"
-849504.267128902	2086352.33014617	17	3	-849490.757858685	2086376.44111618	"BRK"
-849516.273107724	2086384.92129197	18	3	-849490.757858685	2086376.44111618	"BRK"
-849716.973022759	2086229.94211505	19	3	-849490.757858685	2086376.44111618	"BRK"
-849464.346093505	2086258.7458977	20	3	-849490.757858685	2086376.44111618	"BRK"
-849505.507812019	2086357.54983256	21	3	-849490.757858685	2086376.44111618	"BRK"
-849574.217849963	2086361.98960942	22	3	-849490.757858685	2086376.44111618	"BRK"
-849489.964895779	2086336.51609069	23	3	-849490.757858685	2086376.44111618	"BRK"
-849507.584293371	2086407.44411299	24	3	-849490.757858685	2086376.44111618	"BRK"
-849517.238899864	2086401.95884962	25	3	-849490.757858685	2086376.44111618	"BRK"
-849515.635765603	2086346.47032575	26	3	-849490.757858685	2086376.44111618	"BRK"
-849728.71549568	2086232.29599069	27	3	-849490.757858685	2086376.44111618	"BRK"
-849559.29337927	2086327.18123507	28	3	-849490.757858685	2086376.44111618	"BRK"
-849468.940564062	2086528.10704885	29	3	-849490.757858685	2086376.44111618	"BRK"
-849632.341328592	2086404.95460268	30	3	-849490.757858685	2086376.44111618	"BRK"
-849516.39228253	2086379.2844749	31	3	-849490.757858685	2086376.44111618	"BRK"
-849453.643649925	2086299.09405046	32	3	-849490.757858685	2086376.44111618	"BRK"
